,Time_tweeted,User,Tweet
4035,2022-05-25 20:31:18+00:00,tobyvandre,Republicans are pushing more guns and that’s what making them more money . They like these shootings so they can make money off them deaths. https://t.co/6v8OQkHBtE
4036,2022-05-25 20:31:17+00:00,Booker10038,Beto isn’t Governor but his Delusional supporters believe Texans will gladly give up their guns if he signs a executive order to gun confiscation.
4037,2022-05-25 20:31:17+00:00,JackieMitchard,"Ted Cruz boasted, “After Sandy Hook, Ted Cruz stopped Obama’s push for new gun-control laws."" Cowards, with bloody hands, does our nation love our guns more than our children?#GunControlNow"
4038,2022-05-25 20:31:15+00:00,MothrOfDrag0ns,Texas banned abortions &amp; filters before guns
4039,2022-05-25 20:31:14+00:00,vg8dtf26qb,You need a radical approach to deal with a radical problem. The same way that you go with an aggressive approach for an aggressive type of cancer. We need a complete ban on guns.
4040,2022-05-25 20:31:14+00:00,RobinLynneKelly,"It is shameful that @GregAbbott_TX resorts to blowing all sorts of dog whistles about Chicago &amp; misleading on Illinois gun safety laws. Over 50% of guns used in crimes in Chicago come from out of state, including Texas. We need federal gun trafficking &amp; straw purchasing laws. https://t.co/IlVESjSms1"
4041,2022-05-25 20:31:13+00:00,ErinJDocherty,Imagine living in a world where people love their guns more than their own children. Oh wait…
4042,2022-05-25 20:31:13+00:00,doctorcherokee,"Freedom comes with risk.

Free speech comes with risk.  Guns come with risk.

Why is that so hard to understand? These people believe a zero-risk world is possible?

It befuddles me that people would ostensibly rather have a fascist society where ""everyone is safe."" https://t.co/X4O96YmLwA"
4043,2022-05-25 20:31:13+00:00,joeziggy5656,"The people posting things saying “protect kids, not guns” are the same people that were supporting late term abortions a week ago"
4044,2022-05-25 20:31:12+00:00,wheretfissam,i think america needs to take notes from other countries instead of trying to get teachers to have guns in classes and more police in schools bro if you banned guns it wouldn’t be that big of a problem as it is right mow
4045,2022-05-25 20:31:12+00:00,whingeymum,"#badmum tonight, kids still up with me, for my benefit. Today I've had to explain to them why the good ol USofA thinks ready availability of guns to kill children is ok, and why we can't trust our leaders. On top of war in Ukraine and other abuses across the globe, it's not fun"
4046,2022-05-25 20:31:12+00:00,AnaRespectfully,"This is crazy. They were just going to school, a place where they should feel safe. Children should never lose their lives, less in a school. How many people have died? How many lives will have to be taken away for no reason for laws about guns to change? Glad not living there. https://t.co/SfC7of7hKu"
4047,2022-05-25 20:31:11+00:00,joeldwest1,I understand Ukraine needs help. But I have to believe if we have $40 Billion dollars to give to Ukrainian we have enough money to fund more of an armed police force in every school in America. Banning guns and background won’t stop this if we are honest. Use money for cops.
4048,2022-05-25 20:31:11+00:00,BullyGang89,"CDC said in 2012  guns stopped crimes at minimum 500,000 times a year - 3 million. Ppl who dont want armed staff and security at school are putting their personal beliefs about guns over the protection and safety of children. They are in denial of reality."
4049,2022-05-25 20:31:11+00:00,TonyTone9849,“Only criminals and law enforcement will have guns” Just bc you deleted it @jamesmichael_13 https://t.co/nSRCL7tHdI
4050,2022-05-25 20:31:10+00:00,AlexJBarrio,"These people will twist themselves in the most ridiculous impossible-to-fathom knots you'll ever see just so they don't have to say ""Maybe buying guns should be harder."" 

Guns are deadlier than cars and should be treated as such: licensing, insuring, testing, registering. https://t.co/fYQTgxV8FY"
4051,2022-05-25 20:31:09+00:00,dawnanastasia,Tbh … you don’t even need to go to a convention to buy guns that can can do great damage anymore .. they’re being sold out of trunks and shit now
4052,2022-05-25 20:31:09+00:00,usnews,"The California rule would allow private citizens to sue anyone who manufactures, distributes or sells so-called “assault weapons” or ghost guns or parts in the state.   https://t.co/VqqmV0ASFq"
4053,2022-05-25 20:31:08+00:00,GDRPempress,"Ohhhh, but I thought, “Guns don’t kill people, people kill people.” https://t.co/qeHyZlw9rx"
4054,2022-05-25 20:31:08+00:00,jenhen,That's really it. Eliminating guns in the US would be easy compared to eliminating gun *culture*. There ARE too many times in entertainment or news where we're shown someone reaching for a gun to solve a problem.
4055,2022-05-25 20:31:08+00:00,Mary_Nelson8,"Starting to think that a number of people prefer living in a ""wild west"", where people just carry guns and respond to any threat with murder--and readily accept the murders of their loved ones.

Unacceptable.
Could never be called a civilized, or civil, society.

#GunSenseNow"
4056,2022-05-25 20:31:07+00:00,kevicss,"He will say anything to advance his political career...

O’Rourke on past remarks about taking guns: ‘Not interested in taking anything from anyone’

https://t.co/zJHKm3QlFO"
4057,2022-05-25 20:31:06+00:00,jenreport,"If It’s Not “Angry White Men”, Then It’s The “Easy Access Of Guns” | Lar... https://t.co/YKFjTZp6zj via @YouTube"
4058,2022-05-25 20:31:06+00:00,boating777,"Whoopi Goldberg: If women can’t have abortions we’re ‘going to come for’ guns, ‘get ready to give them up’ https://t.co/dsXXvbNX1l #FoxNews"
4059,2022-05-25 20:31:06+00:00,robb_kidd,"Guns Seized at Montpelier High School https://t.co/vt3QLOWpHY via @The Montpelier Bridge 

#WTF"
4060,2022-05-25 20:31:06+00:00,RLomely,"“If guns made people safer, then the United States would be the safest place in the world. How many more children have to die before the right accept that the answer to bad guys with guns is not good guys with guns, it’s getting rid of guns.” https://t.co/CgBU9jNrEc"
4061,2022-05-25 20:31:05+00:00,Tantriclover,Guns are banned during Trump's upcoming speech at the NRA conference https://t.co/Vl2oqymUCH #SmartNews
4062,2022-05-25 20:31:05+00:00,joeblow05919516,This will never end bc we are in a civil war &amp; the side with the guns are ready to use them.
4063,2022-05-25 20:31:05+00:00,TheStringTheor1,"The only embarrassment is the fact the you hold a public office representing the people of this country!

@sebastianbach is right! You value guns over the lives of innocent children! 😡 https://t.co/b9B7H5jGqA"
4064,2022-05-25 20:31:05+00:00,AalinIzhar,"This might be the most devastating chart I’ve ever seen 
Make it make sense
It has to be more than laws. It has to be the guns themselves, right? I just don’t know. And I’m scared to stick around to find out. https://t.co/6j0PY98STY"
4065,2022-05-25 20:31:04+00:00,McneJames,"“We’ve had guns forever and we’re gonna continue to have guns,” Sen. Tommy Tuberville (R-Ala.) said Wednesday. https://t.co/MxGBosWnQ2 via @HuffPostPol"
4066,2022-05-25 20:31:03+00:00,CJpt3_,"children getting constantly murdered in schools and y’all are choosing to use ukraine, a country at war, to defend civilians owning guns lol no fucking way y’all are this dumb"
4067,2022-05-25 20:31:02+00:00,TPPatriots,Biden's America: Californians Surrender Guns to Escape Punishing Gas Prices https://t.co/FBw2nHrwNn
4068,2022-05-25 20:31:02+00:00,TheRealJK217,"BULLSHIT! Had money for guns but not for clothes? If the bullying was the problem, he would have shot the bullies! Not innocent children. This is complete trash. https://t.co/At8qptT71Q"
4069,2022-05-25 20:31:01+00:00,XL3GITR0CKST4RX,"Kentucky has been this way for years now, no mass shootings, murder rate (with guns) hasn’t went up.  Are you scared someone’s going to shoot you because the government allows them to carry a gun with no background check? Laws/bills don’t keep people from getting killed by guns https://t.co/JL8760VpGp"
4070,2022-05-25 20:31:01+00:00,rebelledeb,".@Sen_JoeManchin 
.@SenatorSinema 
.@SenSchumer 

Your price today for maintaining unfettered access to guns and keep the Republicans from being held accountable as accessories to murder: 21 innocent lives.
19 children whose bodies were so destroyed they must be identified by DNA https://t.co/qROhDBsgd9"
4071,2022-05-25 20:31:01+00:00,_anareynolds,I will never understand why these people value GUNS over actual living breathing CHILDREN https://t.co/pgMeqPKVEN
4072,2022-05-25 20:31:01+00:00,LepageDavid,"This is what gangsters defend with illegal guns.

This why they shoot at each other in our streets.

This is what they sell our kids.

This is what kills.

This is what politicians avoid fixing, blaming legal gun owners instead.

#cdnpoli #polmtl
https://t.co/rOSEkB70R7"
4073,2022-05-25 20:31:01+00:00,gigchapman1,"I will accept nothing less then all guns be registered, all gun owners be registered, and limit the quantity of ammunition that a registered gun owner may purchase. We are done https://t.co/rQDt5z1Fuv"
4074,2022-05-25 20:31:01+00:00,ManicPixJeepGrl,"I think we all that now total monster @GregAbbott_TX is going to use the latest tragedy to force MORE guns into schools.

Taking BODILY RIGHTS away from women.
Celebrating GUNS when CHILDREN die.
Violating TRANS CHILDREN'S rights &amp; lives.

#FuckTexas
#GiveTexasBackToMexico"
4075,2022-05-25 20:30:59+00:00,nourishdc,"Thoughts, prayers and turning our schools into bunkers are all not the answer. How about regulating guns like cars? Raising the age restriction to 21? Mandatory waiting periods? And please GOP, stop flashing automatic weapons around in your campaign ads, glorifying their use. https://t.co/PCar8Y0Pfh"
4076,2022-05-25 20:30:59+00:00,JM_Sievert,"The leading cause of death in children is guns. 

Read that one again. https://t.co/XR0FSzCxJ6"
4077,2022-05-25 20:30:58+00:00,PostHealthSci,Guns killed more youngsters than cars for the first time in 2020 https://t.co/d58U5QW91E
4078,2022-05-25 20:30:57+00:00,ConiCon35577320,"Did it ever cross your mind that you being a persistent loser every Election is while attacking our 2nd amendment, you are ok with Open Borders with immigrants crossing over and selling illegal guns to Criminals isn't a problem with you? https://t.co/U3zvwKXcfL"
4079,2022-05-25 20:30:56+00:00,jimbostarr28,The comments on this thread is dumb lol the hood isn’t going to Indiana to buy all the guns.. https://t.co/1h7FkpWvFB
4080,2022-05-25 20:30:53+00:00,sassybibrarian,"Doesn’t Abbott realize people in Chicago get shot by guns brought in from Indiana, because they have looser gun laws?!"
4081,2022-05-25 20:30:53+00:00,joegarofoli,".@VP @KamalaHarris had a plan for executive action on #guns. 

Joe Biden hasn’t adopted it. 

@TalKopan explains 

https://t.co/flvgM6r12m via @sfchronicle"
4082,2022-05-25 20:30:52+00:00,GFJurke,Guns are banned during Trump's speech at the NRA conference this week : NPR https://t.co/mSCN2Vr7HO
4083,2022-05-25 20:30:51+00:00,ArbiterofCool,"EVERY school shooting should get this extensive coverage &amp; level of outrage.  Each monster tries to cause mass destruction w/ guns/assault rifles while wearing armor, so the concept is the same. We're just fortunate they're all not equally horrific results.
#GunSafetyNow #Uvalde"
4084,2022-05-25 20:30:51+00:00,OhNoCoop,And he had no problem buying guns. https://t.co/WHIUbOzFeV
4085,2022-05-25 20:30:50+00:00,JohnPelham2,"if you are a person that believes:
more tax cuts for the rich causes increased wages 
less environmental regulations makes the air and water cleaner
then you probably believe that more guns make us safer."
4086,2022-05-25 20:30:50+00:00,shane_holmberg,"In Texas you don't need a license or training to own a weapon created solely to kill others as quickly as possible. It's not a loophole. It was intentional.

Texas Republicans did this on purpose to sell more guns. #BetoForTexas #Uvalde #TexasMassacre https://t.co/cYln6koHFm"
4087,2022-05-25 20:30:50+00:00,TexasDeb3,We need to ARM OUR TEACHERS. Period. If sick people know there’s a teacher with a gun in that room they will think twice before they approach our BABIES. If we can’t protect our precious children then what good are we to do. This is our number one problem. Give the teachers GUNS.
4088,2022-05-25 20:30:50+00:00,disappointingem,Teachers aren’t allowed to say gay but you want them to carry guns in schools and fight murderers. Okay.
4089,2022-05-25 20:30:49+00:00,walkew03,2 guns and all that ammo ? https://t.co/RAIw5Pkieo
4090,2022-05-25 20:30:49+00:00,ImaDog4Real,it is weird a party that calls themselves conservatives has such a liberal view on guns🤨
4091,2022-05-25 20:30:49+00:00,FairShare11,"It’s NOT guns @JoeBiden it’s MENTAL ILLNESS! Because you cheap Dems won’t fund mental illness or facilities! You wake up sleepyJoe, you’re asleep at the wheel! We are FED UP WITH YOU!!! Now you want put food in more danger with this EO? You’re crazy! @newsmax"
4092,2022-05-25 20:30:48+00:00,greeneyezsmoove,"Guns of war shouldn't be owned by any citizens. 

The 2nd Amendment of the Constitution doesn't saying anything about assault weapons. 
When it was written there was no National Guard. Group of people that was the militia was protecting their towns from British Invaders."
4093,2022-05-25 20:30:47+00:00,AbuMoha37425312,"This dude is campaigning on taking away your guns in Texas 
All he’s doing is hurting the Dems if they had any chance to win here https://t.co/5o1TEZnSPX"
4094,2022-05-25 20:30:47+00:00,yelayu,"Gun control doesn’t &amp; has never meant gun ban. But, even if it did, we need to start asking ourselves, as a country, why people feel so unsafe that they’re unwilling to part with their guns, when nearly every other civilized country doesn’t allow guns &amp; doesn’t have these issues."
4095,2022-05-25 20:30:46+00:00,apostolicelder,"Yeah, what else are there to talk about, but guns, guns and your guns; when they are being used to kill our Children. https://t.co/khnuaVSmI6"
4096,2022-05-25 20:30:45+00:00,ImAkyua,"what the FUCK is this clown shit? ban the fucking guns, bloody hell... https://t.co/1xHu4GSW9z"
4097,2022-05-25 20:30:45+00:00,WinnipegLaur,Imagine a United States of America that valued its children more than its guns. Once upon a time I was able to do this… but I no longer can. The status quo remains. Another horrific tragedy unfolds.  #GunViolence #heartbroken #fightforchange
4098,2022-05-25 20:30:45+00:00,Eri_Dashur,"I wonder if the law makers, congress men &amp; women who are for guns, and the person that sold the assault weapon, to that 18 year old kid feels guilty for having a part to play for 19 kids dying. I hope they do! #BanAssaultWeaponsNow"
4099,2022-05-25 20:30:44+00:00,mindofmya,He’s one of the ones that are ignoring the issues of guns but making it an issue of citizenship. A Tom missing his Karen 🙄 https://t.co/1qB3Q7RJmJ
4100,2022-05-25 20:30:44+00:00,DevonteDaboss,Putting guns in classrooms is the worst possibility y’all can think of
4101,2022-05-25 20:30:43+00:00,OverTheHillUK,👏👏👏 it is quite simple really. When has assault rifles and machine guns ever been needed to protect yourself in every day life? Mental health is a serious issue and can literally happen to ANYONE!! Taking away the weapons that can lead to mass shootings seems sensible to me. https://t.co/3ql2QrJQmq
4102,2022-05-25 20:30:43+00:00,telemachyo,I have never seen a person argue for adding restrictions on guns who ever acknowledged there is any value to possessing a gun.
4103,2022-05-25 20:30:43+00:00,ok_ashlay,If your immediate reaction to another mass shooting is outrage over the incoming ideas of any type of gun control - I would very much like it if ~you in particular~ didn’t get to own guns anymore.
4104,2022-05-25 20:30:40+00:00,AppalachiaSouth,"More honest than most of @ReverendWarnock's mouth sounds. @HerschelWalker indicated he'd wanna see &amp; think about any proposal first (ie, ""No comment right now""). Anxious to see what both say about sending billions more in US$$$ to flood Ukraine w/ guns &amp; stuff &amp; everything"
4105,2022-05-25 20:30:39+00:00,DebNorman17,"Whoopi Goldberg: If women can’t have abortions we’re ‘going to come for’ guns, ‘get ready to give them up’ https://t.co/kopSUxpUtF #FoxNews So Whoopi - have you ever heard of birth control??? That could stop those pesky unplanned pregnancies....."
4106,2022-05-25 20:30:38+00:00,nateoseni,americans are so funny they be like “just give the teachers guns” instead of just regulating their gun laws🤨
4107,2022-05-25 20:30:38+00:00,ginatrish,Why is this a uniquely American problem? Because we need to disarm our nation. No more guns in the room. #StopTheMadness https://t.co/GYsWbkgihH
4108,2022-05-25 20:30:37+00:00,TWilkster,There was a man a few yrs ago who started shooting in a church and a pastor who was licensed to carry shot the shooter and killed him. He probably saved many lives . Only way to stop bad people with guns is with good people with guns .
4109,2022-05-25 20:30:36+00:00,ConnorWRoseYork,Everything here is virtue signaling trash. There's a toxic gun culture issue in America that has been propagated primarily by fetishization of weapons and self-defense. I support the 2A but something has to change with those who own the guns. https://t.co/26Y3ejZKHl
4110,2022-05-25 20:30:35+00:00,hugsalot64,"no rights...not second amendment rights , none have the right to cause the murder of children...all assault riffles should not be in private citizens hands. these guns belong on the base and not in our homes or neighborhoods....what about these childrens right to life?😢😢😢😢"
4111,2022-05-25 20:30:34+00:00,fuckingshitpoet,i’m tired of this debate about guns and everyone sending thoughts and prayers and everyone pretending to be self aware. and thought posts and tweets. i’m tired of this cycle we live in. i’m tired of being like “ugh i hate america. this place sucks” im tired of blaming politicians
4112,2022-05-25 20:30:33+00:00,hyaalthani,So how did he afford the 2 guns and his iPhone? (which looks like the 13 pro max) https://t.co/C8MJEoow6q
4113,2022-05-25 20:30:33+00:00,andycollins10,According to the GOP!  Never saw a book kill anyone! But the GOP bans books and says the solution to mass shootings is more guns??? https://t.co/wS6NwwhCHs
4114,2022-05-25 20:30:33+00:00,mjroquet,"This is all over right wing social media. Feeling really great and safe to be a trans woman in education right now - even safer than it already did to be a trans woman, or to work in education, or just to exist in a country where there are 330 million people but 400 million guns. https://t.co/vEm9tvSHsY https://t.co/Xf9IzrHSTB"
4115,2022-05-25 20:30:32+00:00,nikl_space,"Gosh, it's like they think guns are not safe or something. https://t.co/srGbQLaDJ3 https://t.co/32deEkAsFr"
4116,2022-05-25 20:30:31+00:00,ajgriff__941,Guns are expensive af and that’s a new iPhone suck my dick https://t.co/E2Sh2c747q
4117,2022-05-25 20:30:31+00:00,itsreallyadam,Remember when cell phones came out and they kinda sorta changed the driving laws where you couldn't use your phone while driving? So basically that just with guns
4118,2022-05-25 20:30:31+00:00,Rhonda17071468,"Everyone talking about Gun Control not the legal guns with legal owners.All the smuggled &amp; stolen guns,bought on the streets by criminals.Until Law Enforcement is allowed to do their job nothing will change Prosecutors need to do theirs get off the Soros payroll."
4119,2022-05-25 20:30:30+00:00,glassauroraa,"If you want actually do any help whatsoever instead of talking , stop glorifying guns and using rap/hip hop culture as an excuse for it.🫣"
4120,2022-05-25 20:30:30+00:00,juliannedoesart,"i don’t understand how people can be so ignorant, “arm teachers” are you fucking insane y’all just wanna add more guns yo the situation. Disgusting"
4121,2022-05-25 20:30:29+00:00,TheRealMatt22,These idiots and their infatuation with “masculinity”. Guns don’t make you masculine. https://t.co/iLKAABjUkf
4122,2022-05-25 20:30:29+00:00,Mobsquadren101,It’s a horrific tragedy! The problem is nothing is getting done because we all divide on guns and it’s not the real issue. Prohibition proved that. The real issue is lack of mental health care and everyone only being compassionate too people who agree with their own views.
4123,2022-05-25 20:30:29+00:00,FreedomTweets7,Joe Biden’s own sun proved how easy it is to obtain guns illegally.
4124,2022-05-25 20:30:28+00:00,Regmusicman,True that. They’re aware of how dangerous guns are and how unstable their supporters can be. That makes them evil hypocrites for not acknowledging there’s a problem. #GunSafetyNow https://t.co/0a46dKRPK8
4125,2022-05-25 20:30:28+00:00,KivalK5201,"Idiot cross examiner objecting to his questions when they didn't allow the expert to answer the questions during his direct examination.
Big ups to you Mr Brian for sticking to your guns.
#JusticeForJohnnyDepp #DeppvHeard #JohnnyDeppVsAmberHeard https://t.co/uBsJbaC9KG"
4126,2022-05-25 20:30:28+00:00,snikles313,"This is my pet peeve.  It is all political.  Politics is not a game where you cheer on your team.  Politics have real life consequences.  Healthcare, racism, sexism, guns, abortions, etc.  they are all political. ""man by nature is a political animal"" https://t.co/ciQqNzeKMg"
4127,2022-05-25 20:30:28+00:00,aliaksei_protas,"In the past two years, there has been far more legislation passed to legalize gambling than to protect us from guns. Maybe that’s the problem"
4128,2022-05-25 20:30:27+00:00,slrtheauthoress,"The reality of America. Where it was easier for this boy to buy guns and kill children than it was for him to get help for an abusive childhood. Cycles of violence &amp; evil all round. 

https://t.co/bKMMX6NfeL"
4129,2022-05-25 20:30:27+00:00,Cosmicbluessz,Don't stand there and cry about being Pro-Life when the thought of someone taking your guns scares you more than your child being the next target at another school shooting! R.I.P to the 22 innov3ent souls that lost their lives. I'm sorry this country failed to protect you.
4130,2022-05-25 20:30:26+00:00,SendiADT,Green Day - 21 Guns.
4131,2022-05-25 20:30:26+00:00,MistaDark,"""But I like guns!""

K, I like opium and I'm not allowed to have that. And it isn't like a child could buy an opium and kill a bunch of kids with it in a manner of seconds."
4132,2022-05-25 20:30:26+00:00,YirmyahBonFox,"Cops are racist bad people, also let’s just allow them to have guns and not civilians. 🤡✊🏽 What a great take. https://t.co/y3fVw8LsNn"
4133,2022-05-25 20:30:25+00:00,Ioverof,"you're right! there's more to this situation than guns. there's the stigma against mental illness which makes mental healthcare less accessible. however, there's no fucking reason for ANYONE to own a military weapon period. universal gun restrictions would help more than u think https://t.co/CtEGpdJ9sg"
4134,2022-05-25 20:30:24+00:00,okdawgg,Don’t they know “guns don’t kill people”?🤷🏾‍♂️ https://t.co/E6hLc30uHl
4135,2022-05-25 20:30:24+00:00,HuckInMissouri,"Schools are unfortunately easy targets for the wackos cause no one can shoot back, if schools had armed guards that are trained to protect or maybe a few willing teachers I guarantee the freaks will be less likely to enter that area with bad intentions. More guns not less!!!!!!!!"
4136,2022-05-25 20:30:23+00:00,DaricCott,"Everything has been avoiding blaming the shooter and the access to guns that should not be on these streets. Why does a civilian need an assault rifle, let alone 2?? He bought 2 on his 18th birthday with 375 rounds of ammo, and nobody questioned that."
4137,2022-05-25 20:30:23+00:00,WeeseDo,"companies from gouging us ""   They don't want any restrictions on guns.  I wonder what God thinks of this?  I know what the Bible says. They are doomed."
4138,2022-05-25 20:30:23+00:00,DerrickFenty,There is nothing wrong with our Gun Laws. They do not needed to be strengthened. The mass🤡killer had illegal guns trafficked in. Until I see all names and photos of victims plus camera surveillance evidence.. I am not falling for this bullshit!
4139,2022-05-25 20:30:23+00:00,EJH711,"Yet lets regulate, driving, lakes for fishing, parking, and uteruses... but hands off my guns https://t.co/wXr0Z7bxD2"
4140,2022-05-25 20:30:22+00:00,lc1_summit,All for the love of guns? Just make it a great big military country? This is sick! #ShamefulGOP https://t.co/UQ3Iopu2QD
4141,2022-05-25 20:30:22+00:00,jbrown11871,I am waiting for Ronny Jackson to say guns aren't the problem its children's allergies to bullets
4142,2022-05-25 20:30:22+00:00,caprice_deann,"“I need my guns to protect my property from wild animals” 
1) you’re killing animals bc you decided to live on THEIR land
2) just fucking move I really don’t give a damn children are being massacred"
4143,2022-05-25 20:30:21+00:00,sfrussell,We as a species caused so many megafauna extinctions before the advent of guns so please tell me again how you NEED a gun to hunt
4144,2022-05-25 20:30:21+00:00,ConradViz,"Endless Circle 😡 Normal? Life will never be normal for those who have lost Loved ones to gun violence. Children 😪 SMH.. just Children 💔 How do we get guns away from mentally ill people? IDK but this will continue to happen because guns and sick people exist.
#PrayersForUvalde https://t.co/VDOgDArzRF"
